"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cml3ppkmj000il204zyhwfnqy","Miron Violettglas","Miron Violettglas 5 ml Kosmetikglas ""Ceres"" mit Deckel","miron-violettglas-5-ml-kosmetikglas-cares-mit-deckel","no_prices_found","3.49","","","","","0","1"
"cml3py1p4000hjr0496u6mj6x","RAW","RAW Wooden Spirit Box - Box mit Rolling Tray aus Holz","raw-wooden-spirit-box-box-mit-rolling-tray-aus-holz","ok","53.99","739.9","739.9","739.9","1","1","1"
"cml3q73yq0001l70410ro60fz","OCB","OCB Rolling Box inkl. Tray","ocb-rolling-box-tray","ok","12.99","29.9","29.9","29.9","1","1","1"
"cml3qi5fp0001l104xfkdu386","Herb Shuttles","Herb Shuttles® MJ420 Pfeife","herb-shuttles-mj420-pfeife","no_prices_found","13.99","","","","","0","1"
"cml3qujpr0002la048d9pashg","Calumet","Calumet Mini Rocket Purpfeife Standard Olive L: 93 mm","calumet-mini-rocket-purpfeife-standrad-olive-93mm","no_prices_found","17.99","","","","","0","1"
"cml3r2rdp0001jr04ykmvay34","Calumet","Calumet Wapi Amaranth - elegante Tabakpfeife aus Holz","calumet-wapi-amaranth-purpfeife-elegante-tabakpfeife-holz","no_prices_found","26.99","","","","","0","1"
"cml3r8c4y000plb04p5rxtt6u","PURIZE","PURIZE Mini Pfeife","purize-mini-pfeife","no_prices_found","17.99","","","","","0","1"
"cml3rflf00001ky04rhg6nnt7","PURIZE","PURIZE Bruyére Pfeife Schwarz","purize-bruy-re-pfeife-schwarz","no_prices_found","41.99","","","","","0","1"
"cml3rp3230003l804dqblxdkw","Norddampf","Norddampf Relict","norddampf-relict","no_prices_found","87.99","","","","","0","1"
"cml3sf8620001ic04ol86rl0b","Norddampf","Norddampf Dab Pen","norddampf-dab-peb","no_prices_found","17.99","","","","","0","1"
"cml3snn5f000ri504bkx1hdb0","Norddampf","Norddampf Hammah","norddampf-hammah","no_prices_found","67.99","","","","","0","1"
"cml3t17mn0001kz04agi7464p","VoVa","VOVA Plus - Mit OLED Display","vova-plus-oled-display","no_prices_found","19.99","","","","","0","1"
"cml3tf5i30001l4046boqmm4n","Hizen","Hizen - Stilus Pro Konvektion","hizen-stilus-pro-konvektion","no_prices_found","98.99","","","","","0","1"
"cml3tm5h90001if04q31k9ghw","Storz & Bickel","Storz & Bickel Veazy","storz-bickel-veazy","ok","215.99","249","249","249","1","1","1"
"cml3ur3v70001l804ysvh6nlw","Storz & Bickel","Storz & Bickel Crafty+","storz-bickel-crafty-plus","ok","215.99","17.9","17.9","17.9","1","1","1"
